topic_id,topic_name,size
-1,-1_hon_right_government_friend,38992
0,0_european_eurozone_eu_treaty,2293
1,1_pension_pensions_women_age,1267
2,2_housing_homes_tenants_rented,910
3,3_prison_sentences_sentence_sentencing,891
4,4_scottish_scotland_snp_calman,820
5,5_police_officers_policing_crime,778
6,6_libya_gaddafi_libyan_resolution,688
7,7_universities_students_university_student,669
8,8_rail_highspeed_line_trains,630
9,9_sport_games_olympic_sports,595
10,10_speaker_order_mr_deputy,523
11,11_fuel_prices_duty_petrol,477
12,12_israel_palestinian_israeli_gaza,453
13,13_fishing_fisheries_fish_fishermen,438
14,14_schools_school_academies_pupil,437
15,15_banks_banking_lending_bank,435
16,16_coastguard_rescue_station_maritime,420
17,17_radio_bbc_broadcasting_licence,414
18,18_nhs_health_reorganisation_patients,370
19,19_disabled_disability_dla_mobility,369
20,20_welsh_wales_assembly_silk,357
21,21_afghanistan_afghan_taliban_security,357
22,22_credit_debt_unions_advice,349
23,23_covenant_armed_forces_military,346
24,24_give_way_minister_bygones,335
25,25_deficit_chancellor_debt_growth,335
26,26_post_mail_offices_royal,331
27,27_intelligence_security_orders_control,321
28,28_ireland_northern_irish_belfast,313
29,29_water_flood_flooding_environment,298
30,30_give_gentleman_way_hon,291
31,31_forestry_forests_forest_woodland,283
32,32_rights_human_court_convention,264
33,33_voluntary_society_volunteering_big,260
34,34_bonuses_levy_banks_bonus,250
35,35_child_parents_care_poverty,246
36,36_apprenticeships_apprenticeship_apprentices_skills,242
37,37_nhs_patients_health_care,242
38,38_unemployment_youth_young_longterm,235
39,39_lady_give_way_hon,225
40,40_trafficking_trafficked_human_victims,203
41,41_bus_transport_buses_concessionary,202
42,42_give_gentleman_way_right,202
43,43_wind_turbines_farms_onshore,193
44,44_racing_betting_gambling_levy,190
45,45_iran_iranian_nuclear_sanctions,180
46,46_coroner_coroners_chief_bereaved,180
47,47_ipsa_mps_expenses_trustees,177
48,48_vat_rise_increase_tourism,176
49,49_green_bank_deal_investment,175
50,50_give_way_friend_hon,168
51,51_wage_minimum_wages_agricultural,165
52,52_extradition_arrest_warrant_babar,164
53,53_cancer_ovarian_screening_bowel,164
54,54_gentleman_intervention_gentlemans_intervene,164
55,55_broadband_superfast_coverage_mobile,161
56,56_waste_recycling_packaging_landfill,159
